id,pk,NAME,REC_DATE,CLASS,LAT84,LNG84
3345,1135,甬丰楼,2011,3,29.8867364175759,121.557591464777
3355,1138,一号码头(白沙码头店),2011,3,29.8918302402062,121.565152253244
3375,1147,壹品轩,2011,2,29.899291148659,121.54653977217
3388,1153,知味堂酒家,2011,2,29.9810854716451,121.451916088517
3412,1168,绿野农庄,2011,4,29.9801379209331,121.445071159911
3421,1178,星光大酒店餐厅,2011,2,29.9810175472897,121.444876662272
3436,1203,大灶头家常菜,2011,3,29.8935990773688,121.555363954011
3457,1420,宁海食府(四明中路店),2011,3,29.8289404740914,121.551208241648
3464,1421,腾格里餐厅(万达店),2011,3,29.8289308456541,121.540804621099
3475,1423,涌上外婆桥(和邦店),2011,4,29.8373185784288,121.549637676327
3492,1428,味道庭院餐厅,2011,4,29.8510233988571,121.540951282979
3505,1433,梅龙镇,2011,4,29.8517158409086,121.540310399597
3512,1434,向阳渔港(东钱湖店),2011,3,29.7852373662226,121.631647967109
3519,1435,蟹满香(鄞州万达店),2011,3,29.8318724319704,121.544675139467
3530,1438,甬苑,2011,4,29.8231500335928,121.547346931031
3534,1439,涌香海鲜世界,2011,4,29.8510233988571,121.540951282979
3541,1441,南铂壹号大酒店,2011,2,29.8094162812775,121.544546571708
3563,1449,山水一号,2011,3,29.7702022143636,121.692058732771
3590,1459,棕榈湾海鲜城(鄞州店),2011,3,29.8332454942648,121.538299040214
3606,1465,纪家庄休闲会所,2011,4,29.7702022143636,121.692058732771
3611,1466,十里四香,2011,3,29.7676519509674,121.695891482696
3625,1471,天宫庄园西江古村,2011,4,29.8047360723555,121.572270960686
3653,1484,东钱湖水上餐厅,2011,3,29.7920646567134,121.629979451736
3683,1498,小阿四农家饭店,2011,3,29.7682361734886,121.69512470355
3690,1499,双虹阁,2011,3,29.8008835593661,121.666338198485
3719,1509,恒涛食府(鄞县大道店),2011,4,29.8267704621585,121.499676860653
3738,1519,锦江大厨,2011,3,29.8406164733665,121.561808907595
3770,1548,福泉山寨,2011,3,29.8709616521843,121.545622586282
3778,1554,聆海轩,2011,2,29.827960547785,121.539375595961
3785,1556,五龙潭大酒店,2011,1,29.7969757512458,121.257302412773
3802,1573,江湖传奇粗菜馆,2011,3,29.7796726583711,121.669188430331
3805,1575,阿明农家乐,2011,1,29.7969757512458,121.257302412773
3825,1594,宁海土菜馆,2011,3,29.8378218493313,121.55885204691
3836,1607,万里苑,2011,4,29.8203864578681,121.558887499367
3845,1615,乐园家常,2011,4,29.8252018343139,121.492757404937
3847,1618,鼎鲜楼酒店,2011,3,29.8332248358287,121.538439453018
3871,1653,宁海印象,2011,3,29.8381658328703,121.558859034568
3878,1667,承元阁农家菜,2011,3,29.7681606190034,121.699053351524
3886,1685,原味道,2011,4,29.8402373432257,121.558089223008
3914,1732,老船夫,2011,2,29.8289308456541,121.540804621099
3930,2169,滕头东方恬园生态酒店,2011,4,29.8638696447957,121.808678708323
3942,2173,老板娘新光大酒店中餐厅,2011,3,29.9121979779741,121.852512883452
3965,2184,网岙农家乐,2011,1,29.6069334751705,121.333483403781
3971,2185,碧秀山庄,2011,3,29.882809261068,121.815264095216
3975,2187,戚家山宾馆中餐厅,2011,3,29.9544983401076,121.735844753262
3984,2189,福瑞祥—邻家厨房,2011,2,29.9120575930291,121.849308486642
4001,2202,君御轩私房菜,2011,4,29.914927864444,121.846071582245
4014,2208,老板娘餐饮城,2011,3,29.9222325820262,121.821787210836
4054,2257,小醉阁,2011,3,29.9113508088274,121.855466584321
4056,2259,新元新饭店,2011,3,29.9119012114613,121.830417897116
4080,2291,大夫第食府,2011,3,29.8890303631499,121.807045865915
4093,2486,竹林农家菜馆,2011,5,30.0354295947843,121.548136096186
4117,2495,九龙阁中餐厅,2011,5,30.0342370443518,121.538606905593
4157,2519,碧海云庄,2011,4,29.8709616521843,121.545622586282
4159,2521,镇海夜宵城,2011,2,29.9507329228622,121.703110538537
4173,2530,沿江饭店,2011,2,29.9471981233595,121.680687157492
4182,2537,新一串红酒店,2011,3,29.9565291534885,121.717490944559
4196,2551,聚一聚大酒店,2011,3,29.9496045554097,121.714005286966
