id,NAME,REC_DATE2,avg_score,avg_tas,avg_env,avg_ser,LAT,LNG,LAT84,LNG84,ADDR
2,外婆家(天一店),2014,4.346994535519126,3.337431693989071,3.346994535519126,3.288251366120218,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场)
4,金橘餐厅(东门银泰店),2014,4.235858101629914,3.242569511025887,3.421860019175456,3.299137104506232,29.869508,121.558024,29.87209846290793,121.5538752180504,宁波市中山东路238号银泰百货7楼
5,曹操餐厅,2014,3.638297872340425,2.457446808510638,2.968085106382979,2.936170212765957,29.868388,121.549792,29.87096165218427,121.5456225862818,宁波市江夏街23号东门银泰一楼
6,宁海食府(孝闻街店),2014,4.3815987933635,3.484162895927602,3.007541478129713,3.188536953242836,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
7,贴阁碧(南塘店),2014,4.406727828746178,3.404689092762487,3.413863404689093,3.240570846075433,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路236号
8,绿茶餐厅,2014,3.958762886597938,2.88659793814433,3.107511045655376,2.811487481590574,29.868534,121.55812,29.87112470412896,121.5539715205199,宁波市东渡路29号颐高世贸乐活广场(中国建设银行第一支行世贸支行)
9,贴阁碧(东渡路店),2014,4.323165704863974,3.360263808738664,3.180544105523496,3.138499587798846,29.868437,121.558714,29.87102882898662,121.554566912461,宁波市东渡路16号
10,贴阁碧(月湖盛园店),2014,4.345656192236599,3.369685767097967,3.44916820702403,3.243992606284658,29.863517,121.546877,29.86608441271074,121.5427000023655,宁波市带河巷40号月湖·盛园商业街
11,汉唐餐厅(天一广场店),2014,4.229946524064171,3.29144385026738,3.352941176470588,3.272727272727273,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市中山东路188号天一广场旗杆巷52-62号(近星巴克)
12,贴阁碧(解放店),2014,4.295025728987993,3.295025728987993,3.310463121783877,3.190394511149228,29.871446,121.548907,29.87401751116803,121.5447349557552,宁波市解放南路230弄25号世纪广场北2楼(近中山东路)
13,玲珑小镇(天一店),2014,4.11544227886057,3.073463268365817,3.388305847076462,3.2023988005997,29.86761,121.556461,29.87019756454512,121.552308648136,宁波市日新街105号亿彩购物中心3楼
14,贴阁碧(和义店),2014,4.29802513464991,3.328545780969479,3.244165170556553,3.165170556552962,29.874827,121.552795,29.87740671081892,121.5486329491374,宁波市国医街90号(近万豪酒店)
15,宁海食府(望京路店),2014,4.404545454545454,3.563636363636363,3.127272727272727,3.209090909090909,29.87777,121.540802,29.88032205692896,121.5366062852251,宁波市望京路96号(近城市广场)
16,第二乐章(亿彩店),2014,4.034883720930233,2.98062015503876,3.220930232558139,3.038759689922481,29.86761,121.556461,29.87019756454512,121.552308648136,宁波市日新街105号亿彩购物中心3楼
17,王阿姨文昌油赞子(鼓楼里巷店),2014,4.616895874263261,3.634577603143418,3.489194499017682,3.479371316306483,29.874529,121.547228,29.87709654667935,121.5430511011965,宁波市鼓楼府桥街38弄(近鼓楼里巷特色一条街)
18,遇见餐厅,2014,4.188118811881188,3.138613861386139,3.336633663366336,3.336633663366336,29.891634,121.519645,29.89412763430147,121.5153789761021,宁波市丽园北路888(恒茂商业广场)中医院旁
19,汤彩餐厅,2014,4.044585987261146,3,3.232484076433121,2.974522292993631,29.874682,121.554505,29.87726524358543,121.5503472857164,宁波市和义路88号购物中心1楼(中国电信大楼旁)
20,涌上外婆桥(南塘店),2014,4.414705882352941,3.364705882352941,3.426470588235294,3.338235294117647,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路258号
21,皇家范,2014,4.054511278195489,2.943609022556391,3.404135338345865,3.259398496240602,29.873391,121.555693,29.87597670407159,121.5515383229227,宁波市和义大道78号和义购物中心地B1楼(近华润Ole超市)
22,涌煲记(亚细亚店),2014,4.177325581395348,3.171511627906977,3.247093023255814,3.206395348837209,29.873635,121.55527,29.87621984632606,121.5511142653163,宁波市药行街169号亚细亚A座5楼(近城隍庙)
23,上海小南国(天一广场店),2014,3.995555555555556,3,3.275555555555556,3.164444444444444,29.868824,121.55476,29.87140810624047,121.5506033861703,宁波市碶闸街110、112号(近天一广场3号门口)
24,贰楼饭局,2014,4.173160173160174,3.166666666666667,3.318181818181818,3.127705627705628,29.873686,121.546695,29.87625237465465,121.5425166837239,宁波市呼童街66号鼓楼科技广场2楼
25,南田雅叙(东门银泰店),2014,4.016908212560386,2.975845410628019,3.256038647342995,3.14975845410628,29.870095,121.557946,29.87268527933317,121.5537969882258,宁波市东渡路55号东门银泰百货7楼
26,东福园饭店,2014,4.040677966101695,3.094915254237288,3.230508474576271,3.11864406779661,29.874093,121.546506,29.87665891604756,121.5423271223554,宁波市公园路7号
27,贴阁碧(翠柏店),2014,4.293269230769231,3.310096153846154,3.408653846153846,3.211538461538462,29.878829,121.532814,29.8813603508295,121.5285933303939,宁波市翠柏路51号(近工程学院南门)
28,美宴摩登餐厅(月湖盛园店),2014,3.909090909090909,2.757575757575758,3.454545454545455,2.909090909090909,29.863658,121.545821,29.86622296442844,121.541641026746,宁波市镇明路236号(近月湖盛园)
29,梅龙镇(南塘老街店),2014,4.21875,3.197916666666667,3.322916666666667,3.1875,29.868388,121.549792,29.87096165218427,121.5456225862818,宁波市南郊路306号(南塘老街)
30,汉唐餐厅(月湖盛园店),2014,4.151960784313726,3.147058823529412,3.323529411764706,3.132352941176471,29.86361,121.547505,29.86617884032966,121.5433297388364,宁波市月湖盛园盛园巷77号(近镇明路)
