一茶一坐台湾特色餐餐厅(宁波天一乐购店)    	64元	7.1	7.2	7.2	宁波日新街46号乐购超市正门侧	 	 	http://www.dianping.com/shop/541898
V-TOP顶餐厅    	-	7.4	7.8	7.8	宁波新星路111号高鑫广场4楼405室(高鑫1、2号门电梯上4楼)	 	 	http://www.dianping.com/shop/21974623
阳光豪生大酒店中餐厅    	-	8.5	8.9	9.0	宁波望春路188号	 	 	http://www.dianping.com/shop/17682871
小城故事(月湖盛园店)    	74元	7.4	8.0	7.3	宁波海曙区盛园巷32号(月湖盛园)	 	 	http://www.dianping.com/shop/5291366
衢州农家菜馆    	67元	9.1	8.0	8.2	宁波灵桥路88号(近镇明路)	 	 	http://www.dianping.com/shop/5481828
蟹满香(灵桥路店)    	75元	8.2	7.9	7.7	宁波灵桥路48号(衢州农家菜馆旁)(近南苑饭店)	 	 	http://www.dianping.com/shop/3225154
味道人家    	69元	8.1	7.8	7.7	宁波解放南路66号(近基围大厦)	 	 	http://www.dianping.com/shop/2545378
天港大酒店    	114元	7.9	8.1	7.7	宁波蓝天路188号(沃尔玛超市旁)	 	 	http://www.dianping.com/shop/542322
竹林人家(海曙776店)    	85元	8.4	8.3	8.4	宁波环城西路南段776号	 	 	http://www.dianping.com/shop/2552485
美好饭店    	75元	8.2	8.6	8.3	宁波西城商业广场73-74二楼	 	 	http://www.dianping.com/shop/19362788
采采小食(亿彩购物中心店)    	56元	8.4	9.0	8.7	宁波中山东路166号天一广场亿彩购物中心3楼	 	 	http://www.dianping.com/shop/13714369
江南烟云    	53元	7.8	7.9	7.9	宁波南塘老街南郊路184号	 	 	http://www.dianping.com/shop/5640985
川味鱼香(天一广场莱迪美食城店)    	27元	8.0	7.8	7.7	宁波药行街169号莱迪时尚广场2楼餐饮美食城	 	 	http://www.dianping.com/shop/10018278
绿茶致青春餐厅(亚细亚店)    	57元	6.6	7.3	7.2	宁波药行街亚细亚莱迪时尚广场5楼	 	 	http://www.dianping.com/shop/18318298
