"","data_raw.id","data_raw.NAME","data_raw.REC_DATE2","data_raw.LAT84","data_raw.LNG84","cluster"
"72",20,"涌上外婆桥(南塘店)",2013,29.8584387853466,121.536757479325,4
"73",20,"涌上外婆桥(南塘店)",2014,29.8584387853466,121.536757479325,4
"74",20,"涌上外婆桥(南塘店)",2015,29.8584387853466,121.536757479325,4
"75",21,"皇家范",2014,29.8759767040716,121.551538322923,4
"76",21,"皇家范",2015,29.8759767040716,121.551538322923,4
"77",22,"涌煲记(亚细亚店)",2013,29.8762198463261,121.551114265316,4
"78",22,"涌煲记(亚细亚店)",2014,29.8762198463261,121.551114265316,4
"79",22,"涌煲记(亚细亚店)",2015,29.8762198463261,121.551114265316,4
"80",23,"上海小南国(天一广场店)",2011,29.8714081062405,121.55060338617,4
"81",23,"上海小南国(天一广场店)",2012,29.8714081062405,121.55060338617,4
"82",23,"上海小南国(天一广场店)",2013,29.8714081062405,121.55060338617,4
"83",23,"上海小南国(天一广场店)",2014,29.8714081062405,121.55060338617,4
"84",23,"上海小南国(天一广场店)",2015,29.8714081062405,121.55060338617,4
"85",24,"贰楼饭局",2012,29.8762523746547,121.542516683724,4
"86",24,"贰楼饭局",2013,29.8762523746547,121.542516683724,4
"87",24,"贰楼饭局",2014,29.8762523746547,121.542516683724,4
"88",24,"贰楼饭局",2015,29.8762523746547,121.542516683724,4
"89",25,"南田雅叙(东门银泰店)",2014,29.8726852793332,121.553796988226,4
"90",25,"南田雅叙(东门银泰店)",2015,29.8726852793332,121.553796988226,4
"91",26,"东福园饭店",2009,29.8766589160476,121.542327122355,3
"92",26,"东福园饭店",2010,29.8766589160476,121.542327122355,2
"93",26,"东福园饭店",2011,29.8766589160476,121.542327122355,4
"94",26,"东福园饭店",2012,29.8766589160476,121.542327122355,4
"95",26,"东福园饭店",2013,29.8766589160476,121.542327122355,4
"96",26,"东福园饭店",2014,29.8766589160476,121.542327122355,4
"97",26,"东福园饭店",2015,29.8766589160476,121.542327122355,4
"98",27,"贴阁碧(翠柏店)",2013,29.8813603508295,121.528593330394,4
"99",27,"贴阁碧(翠柏店)",2014,29.8813603508295,121.528593330394,4
"100",27,"贴阁碧(翠柏店)",2015,29.8813603508295,121.528593330394,4
"101",28,"美宴摩登餐厅(月湖盛园店)",2010,29.8662229644284,121.541641026746,4
"102",28,"美宴摩登餐厅(月湖盛园店)",2011,29.8662229644284,121.541641026746,4
"103",28,"美宴摩登餐厅(月湖盛园店)",2012,29.8662229644284,121.541641026746,4
"104",28,"美宴摩登餐厅(月湖盛园店)",2013,29.8662229644284,121.541641026746,4
