id,NAME,REC_DATE2,avg_score,avg_tas,avg_env,avg_ser,LAT,LNG,LAT84,LNG84,ADDR
1,猪乐乐,2015,4.106145251396648,3.011173184357542,3.134078212290503,3.407821229050279,29.873635,121.55527,29.87621984632606,121.5511142653163,宁波市药行街169号亚细亚A座5楼5-4(海底捞旁)
2,外婆家(天一店),2010,4.125,2.458333333333333,2.5,2.166666666666667,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场)
2,外婆家(天一店),2011,3.852941176470588,2.106617647058823,2.290441176470588,1.808823529411765,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场)
2,外婆家(天一店),2012,3.802030456852792,2.304568527918782,2.370558375634518,2.035532994923858,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场)
2,外婆家(天一店),2013,4.129268292682926,2.973170731707317,3.026829268292683,2.848780487804878,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场)
2,外婆家(天一店),2014,4.346994535519126,3.337431693989071,3.346994535519126,3.288251366120218,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场)
2,外婆家(天一店),2015,4.40406976744186,3.386627906976744,3.441860465116279,3.404069767441861,29.870821,121.554183,29.87340381388277,121.5500247873223,宁波市中山东路166号天一国际购物中心4楼(近天一广场)
3,水货SEAHOOD(天一店),2015,4.076190476190476,2.904761904761905,3.295238095238095,3.257142857142857,29.869914,121.553191,29.87249482491867,121.5490303519646,宁波市天一广场碶闸街98-2号(避风塘)
4,金橘餐厅(东门银泰店),2014,4.235858101629914,3.242569511025887,3.421860019175456,3.299137104506232,29.869508,121.558024,29.87209846290793,121.5538752180504,宁波市中山东路238号银泰百货7楼
4,金橘餐厅(东门银泰店),2015,4.300209205020921,3.27928870292887,3.425732217573222,3.324267782426778,29.869508,121.558024,29.87209846290793,121.5538752180504,宁波市中山东路238号银泰百货7楼
5,曹操餐厅,2014,3.638297872340425,2.457446808510638,2.968085106382979,2.936170212765957,29.868388,121.549792,29.87096165218427,121.5456225862818,宁波市江夏街23号东门银泰一楼
5,曹操餐厅,2015,4.016129032258065,2.94758064516129,3.32258064516129,3.241935483870968,29.868388,121.549792,29.87096165218427,121.5456225862818,宁波市江夏街23号东门银泰一楼
6,宁海食府(孝闻街店),2009,3.75,2.125,1.75,1.5,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
6,宁海食府(孝闻街店),2010,3.833333333333333,2.208333333333333,1.208333333333333,1.291666666666667,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
6,宁海食府(孝闻街店),2011,3.764705882352941,2.117647058823529,1.235294117647059,1.411764705882353,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
6,宁海食府(孝闻街店),2012,3.823529411764706,2.588235294117647,1.588235294117647,1.823529411764706,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
6,宁海食府(孝闻街店),2013,4.1,3.066666666666667,2.416666666666667,2.583333333333333,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
6,宁海食府(孝闻街店),2014,4.3815987933635,3.484162895927602,3.007541478129713,3.188536953242836,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
6,宁海食府(孝闻街店),2015,4.534296028880866,3.55956678700361,3.198555956678701,3.415162454873646,29.876878,121.543557,29.87943682320901,121.5393694843706,宁波市孝闻街77号
7,贴阁碧(南塘店),2012,4.081081081081081,2.864864864864865,3.216216216216216,2.513513513513514,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路236号
7,贴阁碧(南塘店),2013,4.214689265536723,3.084745762711865,3.124293785310734,2.932203389830509,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路236号
7,贴阁碧(南塘店),2014,4.406727828746178,3.404689092762487,3.413863404689093,3.240570846075433,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路236号
7,贴阁碧(南塘店),2015,4.400473933649289,3.398104265402844,3.438388625592417,3.322274881516588,29.855885,121.540951,29.85843878534661,121.536757479325,宁波市南塘老街南郊路236号
8,绿茶餐厅,2013,4,3,3,2.666666666666667,29.868534,121.55812,29.87112470412896,121.5539715205199,宁波市东渡路29号颐高世贸乐活广场(中国建设银行第一支行世贸支行)
8,绿茶餐厅,2014,3.958762886597938,2.88659793814433,3.107511045655376,2.811487481590574,29.868534,121.55812,29.87112470412896,121.5539715205199,宁波市东渡路29号颐高世贸乐活广场(中国建设银行第一支行世贸支行)
8,绿茶餐厅,2015,4.2,3.096,3.2,3.12,29.868534,121.55812,29.87112470412896,121.5539715205199,宁波市东渡路29号颐高世贸乐活广场(中国建设银行第一支行世贸支行)
9,贴阁碧(东渡路店),2012,4,3,2.666666666666667,2.666666666666667,29.868437,121.558714,29.87102882898662,121.554566912461,宁波市东渡路16号
9,贴阁碧(东渡路店),2013,3.849431818181818,2.866477272727273,2.548295454545455,2.471590909090909,29.868437,121.558714,29.87102882898662,121.554566912461,宁波市东渡路16号
9,贴阁碧(东渡路店),2014,4.323165704863974,3.360263808738664,3.180544105523496,3.138499587798846,29.868437,121.558714,29.87102882898662,121.554566912461,宁波市东渡路16号
9,贴阁碧(东渡路店),2015,4.390995260663507,3.407582938388626,3.319905213270142,3.293838862559242,29.868437,121.558714,29.87102882898662,121.554566912461,宁波市东渡路16号
10,贴阁碧(月湖盛园店),2013,4.5,2,2.5,2.5,29.863517,121.546877,29.86608441271074,121.5427000023655,宁波市带河巷40号月湖·盛园商业街
10,贴阁碧(月湖盛园店),2014,4.345656192236599,3.369685767097967,3.44916820702403,3.243992606284658,29.863517,121.546877,29.86608441271074,121.5427000023655,宁波市带河巷40号月湖·盛园商业街
10,贴阁碧(月湖盛园店),2015,4.5,3.506666666666667,3.566666666666667,3.45,29.863517,121.546877,29.86608441271074,121.5427000023655,宁波市带河巷40号月湖·盛园商业街
11,汉唐餐厅(天一广场店),2011,3.727272727272727,2.363636363636364,1.545454545454545,2.090909090909091,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市中山东路188号天一广场旗杆巷52-62号(近星巴克)
11,汉唐餐厅(天一广场店),2012,3.357142857142857,2.142857142857143,1.892857142857143,1.821428571428571,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市中山东路188号天一广场旗杆巷52-62号(近星巴克)
11,汉唐餐厅(天一广场店),2013,3.790697674418605,2.441860465116279,2.883720930232558,2.558139534883721,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市中山东路188号天一广场旗杆巷52-62号(近星巴克)
11,汉唐餐厅(天一广场店),2014,4.229946524064171,3.29144385026738,3.352941176470588,3.272727272727273,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市中山东路188号天一广场旗杆巷52-62号(近星巴克)
11,汉唐餐厅(天一广场店),2015,4.377272727272727,3.377272727272727,3.427272727272727,3.454545454545455,29.869609,121.553866,29.87219123750996,121.5497070867287,宁波市中山东路188号天一广场旗杆巷52-62号(近星巴克)
12,贴阁碧(解放店),2011,4,2.736842105263158,2.578947368421053,2.421052631578947,29.871446,121.548907,29.87401751116803,121.5447349557552,宁波市解放南路230弄25号世纪广场北2楼(近中山东路)
12,贴阁碧(解放店),2012,4.13953488372093,2.790697674418605,2.616279069767442,2.418604651162791,29.871446,121.548907,29.87401751116803,121.5447349557552,宁波市解放南路230弄25号世纪广场北2楼(近中山东路)
12,贴阁碧(解放店),2013,4.023391812865497,2.912280701754386,2.842105263157895,2.730994152046784,29.871446,121.548907,29.87401751116803,121.5447349557552,宁波市解放南路230弄25号世纪广场北2楼(近中山东路)
12,贴阁碧(解放店),2014,4.295025728987993,3.295025728987993,3.310463121783877,3.190394511149228,29.871446,121.548907,29.87401751116803,121.5447349557552,宁波市解放南路230弄25号世纪广场北2楼(近中山东路)
12,贴阁碧(解放店),2015,4.363636363636363,3.363636363636364,3.385026737967915,3.288770053475936,29.871446,121.548907,29.87401751116803,121.5447349557552,宁波市解放南路230弄25号世纪广场北2楼(近中山东路)
13,玲珑小镇(天一店),2013,3.518518518518519,2.37037037037037,2.968253968253968,2.502645502645503,29.86761,121.556461,29.87019756454512,121.552308648136,宁波市日新街105号亿彩购物中心3楼
